Time(s),TidalVolume(mL)
41.88,423.945
41.92,423.945
41.96,423.945
42,423.945
42.04,423.945
42.08,423.945
42.12,423.945
42.16,423.945
42.2,423.945
42.24,423.945
42.28,423.945
42.32,423.945
42.36,423.945
42.4,423.945
42.44,423.945
42.48,423.945
42.52,423.945
42.56,423.945
42.6,423.945
42.64,423.945
42.68,423.945
42.72,423.945
42.76,423.945
42.8,423.945
42.84,423.945
42.88,423.945
42.92,423.945
42.96,423.945
43,423.945
43.04,423.945
43.08,423.945
43.12,423.945
43.16,423.945
43.2,423.945
43.24,423.945
43.28,423.945
43.32,423.945
43.36,423.945
43.4,423.945
43.44,423.945
43.48,423.945
43.52,423.945
43.56,423.945
43.6,423.945
43.64,432.666
43.68,432.666
43.72,432.666
43.76,432.666
43.8,432.666
43.84,432.666
43.88,432.666
43.92,432.666
43.96,432.666
44,432.666
44.04,432.666
44.08,432.666
44.12,432.666
44.16,432.666
44.2,432.666
44.24,432.666
44.28,432.666
44.32,432.666
44.36,432.666
44.4,432.666
44.44,432.666
44.48,432.666
44.52,432.666
44.56,432.666
44.6,432.666
44.64,432.666
44.68,432.666
44.72,432.666
44.76,432.666
44.8,432.666
44.84,432.666
44.88,432.666
44.92,432.666
44.96,432.666
45,432.666
45.04,432.666
45.08,432.666
45.12,432.666
45.16,432.666
45.2,432.666
45.24,432.666
45.28,432.666
45.32,432.666
45.36,432.666
45.4,432.666
45.44,432.666
45.48,432.666
45.52,432.666
45.56,432.666
45.6,432.666
45.64,432.666
45.68,432.666
45.72,432.666
45.76,432.666
45.8,432.666
45.84,432.666
45.88,432.666
45.92,432.666
45.96,432.666
46,432.666
46.04,432.666
46.08,432.666
46.12,432.666
46.16,432.666
46.2,432.666
46.24,432.666
46.28,432.666
46.32,432.666
46.36,432.666
46.4,432.666
46.44,432.666
46.48,432.666
46.52,432.666
46.56,432.666
46.6,432.666
46.64,432.666
46.68,432.666
46.72,432.666
46.76,432.666
46.8,432.666
46.84,432.666
46.88,432.666
46.92,432.666
46.96,432.666
47,432.666
47.04,432.666
47.08,432.666
47.12,432.666
47.16,432.666
47.2,432.666
47.24,439.748
47.28,439.748
47.32,439.748
47.36,439.748
47.4,439.748
47.44,439.748
47.48,439.748
47.52,439.748
47.56,439.748
47.6,439.748
47.64,439.748
47.68,439.748
47.72,439.748
47.76,439.748
47.8,439.748
47.84,439.748
47.88,439.748
47.92,439.748
47.96,439.748
48,439.748
48.04,439.748
48.08,439.748
48.12,439.748
48.16,439.748
48.2,439.748
48.24,439.748
48.28,439.748
48.32,439.748
